Year,Month,Date,Flight_Number,Actual_DepTime,Scheduled_DepTime,Actual_ArrTime,Scheduled_ArrTime,AirTime,ArrivalDelay,DepDelay,Origin,Destination,Distance,Delay
2018,1,4,4555,1328,1255,1549,1520,106,29,33,LAS,PDX,762,YES
2018,1,4,5698,2134,2040,2343,2300,112,43,54,LAS,PDX,762,YES
2018,1,4,3534,1127,1045,1856,1835,245,21,42,LAS,PHL,2176,YES
2018,1,4,4339,1720,1700,41,45,244,-4,20,LAS,PHL,2176,NO
2018,1,4,6204,712,705,932,915,49,17,7,LAS,PHX,256,YES
2018,1,4,6261,1327,1320,1533,1530,50,3,7,LAS,PHX,256,NO
2018,1,4,5160,1817,1810,2016,2015,47,1,7,LAS,PHX,256,NO
2018,1,4,6224,1807,1740,2011,1950,49,21,27,LAS,PHX,256,YES
2018,1,4,860,1712,1545,1914,1750,48,84,87,LAS,PHX,256,YES
2018,1,4,5230,1134,1110,1343,1315,46,28,24,LAS,PHX,256,YES
2018,1,4,526,2156,2110,2353,2310,43,43,46,LAS,PHX,256,YES
2018,1,4,1222,2140,2040,2334,2240,40,54,60,LAS,PHX,256,YES
2018,1,4,1507,1521,1450,1725,1655,46,30,31,LAS,PHX,256,YES
2018,1,4,1094,2100,1945,2255,2150,43,65,75,LAS,PHX,256,YES
2018,1,5,1233,1657,1630,1905,1845,49,20,27,LAS,PHX,256,YES
2018,1,5,115,926,915,1129,1120,44,9,11,LAS,PHX,256,NO
2018,1,5,185,1825,1745,114,50,210,24,40,LAS,PIT,1910,YES
2018,1,5,2519,927,915,1631,1620,218,11,12,LAS,PIT,1910,NO
2018,1,5,3928,1630,1600,23,2350,266,33,30,LAS,PVD,2363,YES
2018,1,5,3941,1136,1120,1852,1840,231,12,16,LAS,RDU,2027,NO
2018,1,5,5976,1824,1725,121,45,222,36,59,LAS,RDU,2027,YES
2018,1,5,3161,1716,1630,1830,1755,60,35,46,LAS,RNO,345,YES
2018,1,5,5677,1928,1855,2034,2015,54,19,33,LAS,RNO,345,YES
2018,1,5,224,1741,1730,1905,1850,57,15,11,LAS,RNO,345,YES
2018,1,5,1457,1609,1540,1732,1700,55,32,29,LAS,RNO,345,YES
2018,1,5,1205,913,840,1029,955,61,34,33,LAS,RNO,345,YES
2018,1,5,5547,2215,2200,2334,2315,57,19,15,LAS,RNO,345,YES
2018,1,5,210,2137,2040,2251,2155,56,56,57,LAS,RNO,345,YES
2018,1,5,214,1100,1020,1210,1145,54,25,40,LAS,RNO,345,YES
2018,1,5,247,1313,1255,1437,1415,57,22,18,LAS,RNO,345,YES
2018,1,5,256,1415,1350,1527,1510,56,17,25,LAS,RNO,345,YES
2018,1,5,319,1348,1330,1455,1435,51,20,18,LAS,SAN,258,YES
2018,1,5,374,2140,2050,2240,2150,45,50,50,LAS,SAN,258,YES
2018,1,5,635,1643,1625,1751,1735,46,16,18,LAS,SAN,258,YES
2018,1,5,646,946,940,1045,1045,46,0,6,LAS,SAN,258,NO
2018,1,5,1941,1915,1905,2016,2005,44,11,10,LAS,SAN,258,NO
2018,1,5,422,1839,1740,1945,1840,44,65,59,LAS,SAN,258,YES
2018,1,5,544,2207,2125,2307,2225,49,42,42,LAS,SAN,258,YES
2018,1,5,1016,1503,1425,1604,1530,48,34,38,LAS,SAN,258,YES
2018,1,5,4122,1613,1515,1727,1615,47,72,58,LAS,SAN,258,YES
2018,1,5,4822,2248,2155,2346,2255,45,51,53,LAS,SAN,258,YES
2018,1,5,2215,1118,1110,1225,1215,50,10,8,LAS,SAN,258,NO
2018,1,5,676,1456,1445,1920,1920,126,0,11,LAS,SAT,1069,NO
2018,1,5,2787,2022,1935,36,5,122,31,47,LAS,SAT,1069,YES
2018,1,5,4859,1049,1040,1509,1510,127,-1,9,LAS,SAT,1069,NO
2018,1,5,597,1831,1810,110,45,192,25,21,LAS,SDF,1624,YES
2018,1,5,1158,1704,1645,1929,1930,129,-1,19,LAS,SEA,866,NO
2018,1,5,1163,2017,2005,2241,2245,129,-4,12,LAS,SEA,866,NO
2018,1,5,1188,1117,1050,1330,1330,119,0,27,LAS,SEA,866,NO
2018,1,5,1198,1426,1355,1605,1530,75,35,31,LAS,SFO,414,YES
2018,1,5,1224,1009,910,1148,1045,76,63,59,LAS,SFO,414,YES
2018,1,5,1296,2021,1700,2303,1835,73,268,201,LAS,SFO,414,YES
2018,1,5,1431,2025,1905,2208,2040,88,88,80,LAS,SFO,414,YES
2018,1,5,1637,2301,2105,59,2240,98,139,116,LAS,SFO,414,YES
2018,1,6,1735,1518,1215,1646,1350,72,176,183,LAS,SFO,414,YES
2018,1,6,410,1307,1235,1432,1400,71,32,32,LAS,SJC,386,YES
2018,1,6,459,2017,1945,2144,2105,70,39,32,LAS,SJC,386,YES
2018,1,6,610,2114,2040,2241,2200,69,41,34,LAS,SJC,386,YES
2018,1,6,72,1605,1520,1739,1645,68,54,45,LAS,SJC,386,YES
2018,1,6,196,1734,1655,1857,1820,66,37,39,LAS,SJC,386,YES
2018,1,6,304,1139,1100,1408,1320,54,48,39,LAS,SLC,368,YES
2018,1,6,175,2104,1905,2314,2120,58,114,119,LAS,SLC,368,YES
2018,1,6,281,919,830,1132,1050,55,42,49,LAS,SLC,368,YES
2018,1,6,233,2113,2050,2328,2305,58,23,23,LAS,SLC,368,YES
2018,1,6,1100,1712,1555,1935,1820,62,75,77,LAS,SLC,368,YES
2018,1,6,1103,1419,1355,1627,1615,55,12,24,LAS,SLC,368,NO
2018,1,6,1028,2242,2140,54,2355,55,59,62,LAS,SLC,368,YES
2018,1,6,1039,1949,1910,2110,2035,66,35,39,LAS,SMF,397,YES
2018,1,6,1055,1409,1350,1539,1520,74,19,19,LAS,SMF,397,YES
2018,1,6,1180,1821,1730,1946,1855,67,51,51,LAS,SMF,397,YES
2018,1,6,1345,916,905,1046,1035,68,11,11,LAS,SMF,397,NO
2018,1,6,1297,1134,1115,1302,1250,66,12,19,LAS,SMF,397,NO
2018,1,6,1411,1527,1515,1648,1645,68,3,12,LAS,SMF,397,NO
2018,1,6,1084,2115,2100,2236,2225,64,11,15,LAS,SMF,397,NO
2018,1,6,1088,1917,1820,2014,1925,40,49,57,LAS,SNA,226,YES
2018,1,6,1534,1125,1010,1224,1110,45,74,75,LAS,SNA,226,YES
2018,1,6,1573,1143,1050,1641,1600,151,41,53,LAS,STL,1372,YES
2018,1,6,1660,1558,1530,2049,2040,150,9,28,LAS,STL,1372,NO
2018,1,6,2204,1940,1855,29,2355,157,34,45,LAS,STL,1372,YES
2018,1,6,1515,1820,1725,112,35,217,37,55,LAS,TPA,1984,YES
2018,1,6,2307,1143,1035,1621,1505,126,76,68,LAS,TUL,1076,YES
2018,1,6,2363,2211,2115,17,2330,53,47,56,LAS,TUS,365,YES
2018,1,6,81,1821,1725,2032,1940,56,52,56,LAS,TUS,365,YES
2018,1,6,162,1341,1320,1556,1535,55,21,21,LAS,TUS,365,YES
2018,1,6,200,2108,2030,2313,2240,53,33,38,LAS,TUS,365,YES
2018,1,6,342,1118,1050,1333,1305,54,28,28,LAS,TUS,365,YES
2018,1,6,406,1735,1710,2010,1955,81,15,25,LAX,ABQ,677,YES
2018,1,6,477,2105,2025,2342,2310,82,32,40,LAX,ABQ,677,YES
2018,1,6,631,1328,1315,1611,1600,80,11,13,LAX,ABQ,677,NO
2018,1,6,683,1024,1015,1504,1505,148,-1,9,LAX,AUS,1242,NO
2018,1,6,699,1632,1540,2207,2125,203,42,52,LAX,BNA,1797,YES
2018,1,6,130,1327,1255,1902,1840,200,22,32,LAX,BNA,1797,YES
2018,1,6,154,1330,1320,1609,1615,86,-6,10,LAX,ELP,714,NO
2018,1,6,353,1925,1735,2201,2025,85,96,110,LAX,ELP,714,YES
2018,1,7,226,1005,945,1250,1235,88,15,20,LAX,ELP,714,YES
2018,1,7,272,1742,1625,2231,2125,157,66,77,LAX,HOU,1390,YES
2018,1,7,447,2020,1935,109,35,159,34,45,LAX,HOU,1390,YES
2018,1,7,371,1501,1425,1554,1530,41,24,36,LAX,LAS,236,YES
2018,1,7,583,1205,1135,1313,1240,47,33,30,LAX,LAS,236,YES
2018,1,7,605,1652,1640,1748,1745,41,3,12,LAX,LAS,236,NO
2018,1,7,525,922,855,1102,1000,44,62,27,LAX,LAS,236,YES
2018,1,7,746,1835,1740,1931,1840,42,51,55,LAX,LAS,236,YES
2018,1,7,776,1027,1015,1151,1120,43,31,12,LAX,LAS,236,YES
2018,1,7,794,1910,1845,2026,1950,42,36,25,LAX,LAS,236,YES
2018,1,7,838,2109,2100,2212,2205,41,7,9,LAX,LAS,236,NO
2018,1,7,892,2237,2140,2335,2245,47,50,57,LAX,LAS,236,YES
2018,1,7,1678,2025,1955,2120,2055,43,25,30,LAX,LAS,236,YES
2018,1,7,1790,1423,1335,1519,1440,42,39,48,LAX,LAS,236,YES
2018,1,7,421,1337,1310,1825,1825,154,0,27,LAX,MCI,1363,NO
2018,1,7,731,1142,1125,1626,1640,156,-14,17,LAX,MCI,1363,NO
2018,1,7,743,1928,1835,22,2345,159,37,53,LAX,MCI,1363,YES
2018,1,7,750,1713,1625,2242,2215,192,27,48,LAX,MDW,1750,YES
2018,1,7,809,1255,1240,1825,1835,201,-10,15,LAX,MDW,1750,NO
2018,1,7,904,1453,1445,2130,2040,202,50,8,LAX,MDW,1750,YES
2018,1,7,977,1001,945,1550,1540,201,10,16,LAX,MDW,1750,NO
2018,1,7,1088,1831,1755,1,2350,195,11,36,LAX,MDW,1750,NO
2018,1,7,1098,1030,1000,1142,1115,62,27,30,LAX,OAK,337,YES
2018,1,7,1205,2004,1900,2127,2015,66,72,64,LAX,OAK,337,YES
2018,1,7,1234,923,900,1114,1015,63,59,23,LAX,OAK,337,YES
2018,1,7,1235,1419,1400,1534,1515,65,19,19,LAX,OAK,337,YES
2018,1,7,1462,1522,1500,1638,1615,65,23,22,LAX,OAK,337,YES
2018,1,7,913,1803,1730,1933,1845,67,48,33,LAX,OAK,337,YES
2018,1,7,1961,2146,2100,2304,2215,65,49,46,LAX,OAK,337,YES
2018,1,7,2154,2001,1930,2118,2045,64,33,31,LAX,OAK,337,YES
2018,1,7,2282,1827,1800,1945,1915,63,30,27,LAX,OAK,337,YES
2018,1,7,2417,1904,1830,2019,1945,64,34,34,LAX,OAK,337,YES
2018,1,7,1540,1450,1430,1607,1545,64,22,20,LAX,OAK,337,YES
2018,1,7,1574,1722,1700,1836,1815,63,21,22,LAX,OAK,337,YES
2018,1,7,1700,1820,1630,1943,1745,71,118,110,LAX,OAK,337,YES
2018,1,7,1867,1623,1600,1753,1715,70,38,23,LAX,OAK,337,YES
2018,1,7,1937,2008,2000,2136,2115,67,21,8,LAX,OAK,337,YES
2018,1,7,159,808,800,921,915,62,6,8,LAX,OAK,337,NO
2018,1,7,198,1206,1200,1328,1315,63,13,6,LAX,OAK,337,NO
2018,1,7,1502,1609,1600,1819,1815,56,4,9,LAX,PHX,370,NO
2018,1,8,1504,1811,1725,2016,1940,52,36,46,LAX,PHX,370,YES
2018,1,8,1600,1851,1830,2059,2045,59,14,21,LAX,PHX,370,NO
2018,1,8,2533,2020,1905,2225,2115,56,70,75,LAX,PHX,370,YES
2018,1,8,4213,1204,1150,1407,1405,53,2,14,LAX,PHX,370,NO
2018,1,8,4431,2116,2040,2318,2250,53,28,36,LAX,PHX,370,YES
2018,1,8,4411,1556,1440,1804,1655,52,69,76,LAX,PHX,370,YES
2018,1,8,4756,1040,1005,1241,1220,50,21,35,LAX,PHX,370,YES
2018,1,8,4768,940,920,1149,1135,52,14,20,LAX,PHX,370,NO
2018,1,8,4740,1419,1335,1624,1550,53,34,44,LAX,PHX,370,YES
2018,1,8,5103,1738,1720,1848,1835,58,13,18,LAX,RNO,390,NO
2018,1,8,5275,853,845,1000,1005,56,-5,8,LAX,RNO,390,NO
2018,1,8,5491,1422,1400,1532,1520,60,12,22,LAX,RNO,390,NO
2018,1,8,5978,1159,1150,1635,1635,141,0,9,LAX,SAT,1210,NO
2018,1,8,5917,2321,1955,38,2115,65,203,206,LAX,SFO,337,YES
2018,1,8,6133,2008,1805,2139,1930,70,129,123,LAX,SFO,337,YES
2018,1,8,6082,1625,1430,1748,1550,67,118,115,LAX,SFO,337,YES
2018,1,8,6122,1305,1050,1421,1210,63,131,135,LAX,SFO,337,YES
2018,1,8,6143,1558,1245,1709,1405,60,184,193,LAX,SFO,337,YES
2018,1,8,865,1600,1455,1714,1600,54,74,65,LAX,SJC,308,YES
2018,1,8,1256,1556,1525,1705,1630,53,35,31,LAX,SJC,308,YES
2018,1,8,1104,2056,2000,2203,2105,56,58,56,LAX,SJC,308,YES
2018,1,8,1057,1159,1130,1259,1235,48,24,29,LAX,SJC,308,YES
2018,1,8,144,2140,2035,2249,2140,54,69,65,LAX,SJC,308,YES
2018,1,8,1056,1455,1425,1557,1530,49,27,30,LAX,SJC,308,YES
2018,1,8,901,1925,1825,2024,1930,49,54,60,LAX,SJC,308,YES
2018,1,8,902,1311,1240,1414,1350,53,24,31,LAX,SJC,308,YES
2018,1,8,202,1014,1000,1120,1105,51,15,14,LAX,SJC,308,YES
2018,1,8,2898,1709,1700,1815,1805,55,10,9,LAX,SJC,308,NO
2018,1,8,2957,1357,1330,1626,1615,79,11,27,LAX,SLC,590,NO
2018,1,8,2962,1114,1045,1347,1330,80,17,29,LAX,SLC,590,YES
2018,1,8,3014,2117,2010,2355,2255,84,60,67,LAX,SLC,590,YES
2018,1,8,3015,1742,1650,2021,1935,82,46,52,LAX,SLC,590,YES
2018,1,8,3079,1108,1100,1226,1220,59,6,8,LAX,SMF,373,NO
2018,1,8,3189,821,810,936,930,59,6,11,LAX,SMF,373,NO
2018,1,8,3302,2013,1910,2121,2025,58,56,63,LAX,SMF,373,YES
2018,1,8,3338,949,900,1103,1020,61,43,49,LAX,SMF,373,YES
2018,1,8,3350,2215,2125,2321,2245,58,36,50,LAX,SMF,373,YES
2018,1,8,3355,1524,1505,1634,1620,59,14,19,LAX,SMF,373,NO
2018,1,8,3251,1441,1350,1549,1510,56,39,51,LAX,SMF,373,YES
2018,1,8,3377,1743,1715,1853,1830,59,23,28,LAX,SMF,373,YES
2018,1,9,3441,2049,2035,2204,2155,62,9,14,LAX,SMF,373,NO
2018,1,9,3540,1725,1655,2238,2225,179,13,30,LAX,STL,1593,NO
2018,1,9,3488,1356,1345,1608,1600,60,8,11,LAX,TUS,451,NO
2018,1,9,3597,2005,1850,2219,2105,61,74,75,LAX,TUS,451,YES
2018,1,9,3611,1052,1040,1301,1300,60,1,12,LAX,TUS,451,NO
2018,1,9,3678,2110,2040,2326,2300,61,26,30,LAX,TUS,451,YES
2018,1,9,188,1825,1745,1921,1850,47,31,40,LBB,AUS,341,YES
2018,1,9,925,1016,1010,1119,1110,49,9,6,LBB,DAL,293,NO
2018,1,9,943,1402,1340,1501,1440,50,21,22,LBB,DAL,293,YES
2018,1,9,316,1652,1640,1748,1740,48,8,12,LBB,DAL,293,NO
2018,1,9,972,1825,1815,1923,1915,47,8,10,LBB,DAL,293,NO
2018,1,9,2622,1606,1525,1705,1625,50,40,41,LBB,DAL,293,YES
2018,1,9,6360,1654,1550,2006,1900,121,66,64,LIT,BWI,912,YES
2018,1,9,6369,1516,1500,1614,1605,49,9,16,LIT,DAL,296,NO
2018,1,9,5330,1752,1705,1854,1810,49,44,47,LIT,DAL,296,YES
2018,1,9,5292,1251,1235,1348,1340,48,8,16,LIT,DAL,296,NO
2018,1,9,6276,1108,1100,1206,1205,49,1,8,LIT,DAL,296,NO
2018,1,9,6235,2029,1950,2127,2055,49,32,39,LIT,DAL,296,YES
2018,1,9,3489,1417,1405,1535,1530,71,5,12,LIT,HOU,393,NO
2018,1,9,3461,1319,1310,1440,1440,188,0,9,LIT,LAS,1295,NO
2018,1,9,7423,1051,1035,1246,1215,82,31,16,LIT,MDW,544,YES
